Index,Original_Text,Option 1,Option 2
46,"urinary tract infection ( uti ) is a frequent cause of morbidity both in the community and in the hospital setting . the causative pathogen can vary greatly geographically , and so it is prudent to identify those with resistant strains and have current data on the appropriate empirical therapy within a region . the most frequently encountered organisms associated with utis include enteric gram - negative bacteria ( with escherichia coli being the most predominant ) , coagulase negative staphylococcus saprophyticus along with proteus mirabilis , klebsiella , and enterococcus , which account for less than 5% . however , recent studies have reported the increasing prevalence of staphylococcus aureus ( sa ) in utis . sa is an opportunistic pathogen affecting both immune competent and immunocompromised individuals , frequently resulting in significant morbidity
.",", msa is  commonbacteruria in  patients who   have symptom  and  history ofpis. the of of raa s  is inas of the  ofa of patients withmai uri  inpatient and out  samples, and the is of importance in the management ofruri in patients  with asymptomiuri. in this  we, the","msa is a symptom bactera that is associated with uria in patients who undergo ureral re of the prostate, and the s of rs is an - resistant organism, which has been reported to be in the of of patients, in which there isa high of resistance to antibiotics, but the resistance ofma to thoo and oso is not. the number ofss in "
47,"acquired angioedema ( aae ) , an acquired deficiency of c1esterase inhibitor , is a medically treatable condition which can cause severe abdominal pain mimicking an acute surgical abdomen . this disorder is strongly associated with chronic lymphocytic leukemia ( cll ) and other indolent lymphoplasmacytic disorders . we describe a patient with known cll who developed incapacitating , recurrent severe abdominal pains , culminating in partial bowel resection . wider appreciation of the possibility of aae , particularly in patients with lymphoproliferative disorders , could lead to preventive therapy and spare unnecessary surgery . acquired angioedema ( aae ) is due to acquired deficiency of c1 inhibitor ( c1inh ) , resulting in excessive complement and bradykinin activities .","angiodema   is  rare in ll  and ae  our patient withcll presented abdominal pain, nausea, and vomiting.  we  present  case  withaa with  history ofc ill,  abdominal ea, abdominalre and andbowel section. the of ofadem is rare, but is infrequent  inll andas  patients. we the  of","The c1h concentration is highly effective in the treatment of aae, and the ss ofa ea is the most important for the management of acuteoytic disease, which is associated with the development ofoplasmtic and oa diseases. the in ofc inas and ins is of importance, as it is important to the of of thea in patients witha anda. t of abdomen and pelvi with "
48,"distal clavicle fractures associated with partial and complete coracoclavicular ligament disruption are potentially unstable , and non - operative treatment of these fractures is associated with a high non - union rate.[13 ] partial ligament disruptions ( conoid or trapezoid ) retain some inherent stability , and should be distinguished from complete dual ligament disruptions that result in an uncommon and highly unstable subgroup
. internal fixation of these fractures necessitates the use of acromioclavicular joint spanning implants ( clavicle hook plate , synthes , usa ) that overcome distraction forces by subacromial leverage ; however , subacromial / acromioclavicular joint encroachment with these implants is associated with subacromial pathology , and this may negatively influence the final outcomes . to overcome the shortcomings of the joint - spanning implants , acromioclavicular joint - sparing implants ( 2.4 mm lcp distal radius plates , synthes , usa ) have been suggested . additionally , a combination of this implant with some form of coracoclavicular fixation using sutures / anchors / endobutton devices ( tightrope , arthrex , fl , usa ) has been recently described for use in the highly unstable fracture subgroup . however , comparative clinico - radiological outcomes of the two techniques are lacking in literature .","croioclavcular is  type  of fracture  the ofacromi oicular   joint  in cs  and ac  fractures,  with  high rate ofcomution, and high of ss ( t  score ).am ii isa  pattern fracture, the pattern the theai of the m fracture. ic  iss pattern","acroioclavcular fracture was observed in 3 patients ( group 1 ), and the - s of cromi clav joint was ed in group 2 ; m : o i and c . t l d r p n b  ands  ( v) of theamoiclavi joint (a) and (b) were in the of"
49,"a 68-year - old woman visited the clinic with the chief complaints of pain , swelling , and a warm sensation in her left thigh for over 2 days prior to her visit . the patient also complained about a warm sensation during the nighttime but body temperature was normal when measured in the clinic . she had undergone a left bipolar hemiarthroplasty following a hip fracture 24 days prior to the current visit and was wearing compression stockings to prevent the occurrence of a deep vein thrombosis . she had been taking aspirin 100 mg daily , fexonadine 180 mg daily , and hydrea 500 mg twice a day for a diagnosis of polycythemia vera for 1 year and was phlebotomized in a hemato - oncology setting on an irregular basis . in advance of the operation , her erythrocyte sedimentation rate ( esr ) , and c - reactive protein ( crp ) levels were 30 mm / hr and 4.99 mg / dl , respectively .","the ofa deep mbosis   is  common in patients withcthemia ver  and c- reactive (pr  levels)  has been reported  however, the level of proiton may be for  postoperative  in the current  case  we the  patient  with  deep veinmbois. we  presenta case of 68-year- old who  under  leftpolarhemiroplasty","a 68-year- old woman visited the clinic with the symptoms of throsis in the common emoral vein, and the level of serumcalcon ( p ) was increased to the levels ofsr andp levels, which are associated with an increase in - s levels. in case the patient with cythemia vera, the r levels were increased and t levels increased, thus ing the of of"
50,"brachial plexus surgery using the da vinci surgical robot is a new procedure . to evaluate the advantages and the restrictions of the technique , a cadaveric study of supraclavicular and axillary approaches was conducted . we found that the axillary approach was useful and advantageous for lower roots , particularly for thoracic outlet syndrome ( tos ) . this report will focus on the evaluation of axillary robotic approach as the advantages and disadvantages of supraclavicular robotic intervention have been widely discussed in the literature . a human cadaver was subjected to this experiment in paris university ecole europenne de chirurgie anatomy laboratory and da vinci robot system was used .","braalplexus is  common in chi surgery. the ll approach,   the ofticular, has been widely  in the literature  however, this is the first report the robot- assisted brachi plex exposure. we  present our experience theaxiary approach thechial us using the dav surgical system. this was  first of  series  to thes ofchiaplex  and ss","the development of robotic- assisted axiary has been reported in urology, general surgery, andgneology, the of the s of chialplexus is a new approach to the treatment of braal us, which is the result of shoulder trauma. in this report, we present our experience with robotic -  and ys es and the results of our study. we have the experience and experience in the surgical of"
51,"older people have particular spiritual needs that are distinct from those of others , particularly in times of ill health and death and dying . it has been reported that spirituality has a positive effect on health outcomes and welfare of the elderly . nowadays , aging phenomenon and relevant problems with its complexities are important issues that have attracted the attention of social and medical scientists to investigate the spiritual needs of the elderly . spiritual health is a dimension of health that is portrayed as the validation of life in relation to god , fellow human beings , and the environment . spirituality is the representative of the basic values that guide a person in searching to find answers to the crucial questions of life , such as the purpose and meaning of life , reality , love , good and bad , disease , and death .","spirituality is  dimension of health, and the of spiritual in the anian elderly is. the is of importance that the spiritual is the in of the and of life in ra  people. this was  study to spiritual of elderly intan in 2010-   2011. main and subgories spiritual ity one of main categories emerged from the data, 3  4 distinctivecateries  were identified.","in the first phase, the study was conducted in a room at the house of the elderly and the participants were asked to describe their experiences and perceptions about spirituality in later. the results of this study were based on the findings that the spiritual is the dimension of life and that it is important to the health of elderly, and it has been reported that spiritual hasa positive effect on health and is of importance for the development and of of health in society. in this"
52,"according to the national regulations regarding diagnostic criteria of brain death ( bd ) , instrumental confirmatory tests should be used in certain clinical situations , such as intoxications , infratentorial processes , extensive facial damage , children younger than 2  years of age , or any case in which clinical examinations are inadequate . electrophysiological tests are often unavailable due to limited access to proper equipment and competent specialists . therefore ,
two of them , catheter angiography and computed tomographic angiography ( cta ) , are based on the detection of contrast enhancement of cerebral vessels . in these examinations ,
first is a non - filling phenomenon , which means a complete absence of contrast above the carotid siphons and foramen magnum . second is a delayed , weak , and persistent opacification of proximal segments of the cerebral arteries not reaching cortical branches .","sta filling   is  common in d  patients. tp is the oft of s  and b  ind patients, and the is ofa importance in the diagnosis ofba (b)  we the  of stais fill in intranial andcra arteries.ta is ina of the in of ofd and inb patients  thes ofs andas are  to","The aim of this study was to evaluate the effect of contrast on cerebral and cerebral s in patients who underwent surgical of the d, and the of a cp in the patients. tp was performed in bd patients, in which the blood flow was increased by the use of an p - e m l i n o rs and y  g ina ofta andt "
53,"gastric cancer is the second most frequent neoplasm of the alimentary tract after the large intestine .
5,103 people in poland were affected by it in 2008 . the case - to - death ratio of around 1 indicates unfavourable prognosis as to recovery from this disease [ 1 , 2 ] . this poor result is determined by the fact that it is rarely ( only in around 8% ) detected in the form of early gastric cancer , in the mildly symptomatic or asymptomatic phase . in most patients
it is diagnosed at a higher degree than the 1st degree of disease progression and its classic symptoms are weight loss , continuous and dull pain in the epigastrium , loss of appetite , nausea , vomiting and chronic bleeding [ 3 , 4 ] . the existence of gastric cancer metastasis to the ureter has been described twice in the literature to date ."," the oftric cancer is  rare  and rare. the present is the case   ofa woman, age 67, with symptom of left-  side renallic. in the presented  case, the ter was infected bya eplastic infiltration the theureal, and the was removed  this  was the cause of renal lic  we  present a case of tric carcinoma  ina","the presence of noplasm in the ureal is the most common of the cancer, which is a type of cancer that has been described in literature. the patient was admitted to the district hospital ( 22.04- 30.04.2010) and the treatment was performed by liative and ii s - o e t  r d c m p y  and ina the of of"
54,"eosinophilic gastritis is an extremely rare disease that is characterized by eosinophilic infiltration of the various layers of the gastrointestinal tract in the absence of any definite causes of eosinophilia . patients with eosinophilic gastritis have diverse symptoms , including abdominal pain , emesis , abdominal distension , and weight loss . these symptoms are associated with eosinophilic infiltration of the various layers of the gastrointestinal tract . the disease has to be distinguished from generalized eosinophilic disorder presenting with involvement of other organs . a 52-year - old female patient visited another hospital because of epigastric pain and tenderness .","sophil gasritis  necizingtriti  is rare, and the of ooophilicgasriti is  rare. this is the case  a 52-year- old who  presented  pain and tenderness the the stomach. eoinophiltts isa rare  and rarely presenting necotic in the tissue of thegastrointestinal.esinict is of rare in kora ","esophilic gasritis is an uncommon and rarely reported disease, which ischaracterized by oophil infiltration of the various layers of digestive tract, and the results of a  s - d, t  and c are in the of, the rs ands ofs are. in case ofoinophil gasts, it is important to consider the treatment of this disease in patients who have the symptoms ofe"
55,"the skin is the largest organ of the body and protects the organism against external physical , chemical , and biological insults such as wounding , uvb radiation , and microorganisms . this major barrier resides in the upper layers of the epidermis ( for review see segre , 2006 ) . the epidermis is the upper part of the skin that is continuously renewed . the basal layer , or stratum basale , of the epidermis contains proliferating keratinocytes ( fig .
1 ) . upon withdrawal from the cell cycle , these basal keratinocytes detach from the basement membrane and undergo a terminal differentiation program to become corneocytes in the outer layers of the epidermis .",", case-14 is expressed in the stratumgranoum, the epil layer of thederis. the expression of pase 14 is  by the  p- aa  andpa-s  ofap-1  inkerin cells, and the ofpas-14 in epim cells  is by eas and o s in  cells. this  has been  for  years ","In addition, the expression of case-14 in the m of the epim is, and is expressed in a manner that is similar to that of ease - sae- andaa-ss-ees, which are the of ofs and ts. p-, n,a,p,,e,g,t,l,n ands are in of in and in in,"
56,"gossypiboma ( retained surgical sponge ) describes a mass of cotton or sponge that is left behind in the body cavity during a surgical operation . these foreign bodies can often mimic tumors or abscesses when detected clinically or with radiation . in fact , surgical sponges without opaque markers are the leading cause for the difficulty of a correct diagnosis . here , we present a case in which a foreign body , gauze without radiopaque markers , was left behind during a procedure that involved the removal of an intrapelvic tumor . after a computed tomography ( ct )
scan had revealed information leading to an inaccurate diagnosis , an accurate diagnosis of gossypiboma was successfully made using endoscopic ultrasound - fine - needle aspiration ( eus - fna ) .",this is the first report of sypiba ( retained surgical body) bye-  fine- asation   the of ofa foreign in the pelvi after  surgery. we  present  case  which a  string  of ga was left in  cavity during  procedure the removal an intravic  tumor. the wasa oft ofeoscopic-fine-pir (eus-fa)  was,"a 60-year- old female was referred with an unexpected diagnosis of anpel tumor duringa computed toography (ct) scan, which revealeda sypibma ( foreign body) in the pelvi. the t of the body was obtained by the use of b - array echoos to evaluate les prox to thesigd colon. in this case, eus-fna was performed witha 22-"
57,"to demonstrate the usefulness of enhanced depth imaging optical coherence tomography ( edi - oct ) in investigating choroidal lesions inaccessible to ultrasound sonography . in a 60-year - old woman with an asymptomatic choroidal nevus , normal oct was used to observe the macula and edi - oct to image the choroidal nevus that was inaccessible to ultrasound . the exact location of the lesion in the choroid and the dimensions of the nevus were measured . the lesion was located in the superior macula , and the nevus was homogeneous in its reflectivity . we observed a thickened choroid delineated by the shadow cone behind it , measuring 1,376  325 m in the larger vertical cut and 1,220  325 m in the larger horizontal cut in an image with a 1:1 pixel mapping and automatic zoom ."," sd-ott isa technique that allows the of of the oidal thickness, its dimensions, and itsarcation. di - ct  is  new  technique  that is for the evaluation  ofchor nevs. we  present  case ofachoroidalnev in superiorula of  60-year- old  witha symptom  in left eye.ei","a 60-year- old woman with ansymptom chor nev in left eye was referred to our department witha symptom of oidal us, the ed- ct was used to observe the maca and di-ot (ei -c ) in the eye, and the thickness of the was measured by the presence ofa shadow cone. sd tt is an imaging technique that is used"
58,"kelch - like ech - associated protein 1 ( keap1)-nuclear factor e2-related factor 2 ( nrf2 ) is a major cellular pathway that protect normal cells against oxidative and xenobiotic damage.1 nrf2 is an essential transcription factor for antioxidant and detoxification genes and is crucial for the chemopreventive effect of various phytochemicals against carcinogenesis . representative chemopreventive agents that induce nrf2 include carotenoids , curcumins , cyclic lactones , diterpenes , dithiolethiones , epithionitriles , flavonoids , indoles , isothiocyanates , organosulfides , and phenols.2,3 accumulating evidences have demonstrated that phytochemicals can protect cells from oxidative stress related diseases including inflammatory , cardiovascular , and neurodegenerative diseases and cancer , through nrf2-dependent responses . paradoxically , recent researches demonstrated the dark side of nrf2.4 cancer cells acquire a growth advantage by eliminating keap1-mediated negative control of nrf2 , which leads to activation of the nrf2-dependent defense response.4 constitutive upregulation of nrf2 has been found in many types of cancers , including skin , breast , prostate , lung , head and neck , and endometrial cancer.5 overexpressed nrf2 provides a growth advantage for cancer cells by protecting those cells from oxidative stress and anticancer agents , thus contributing to chemoresistance.5 in this review , we summarize the therapeutic development of nrf2 inhibitors that enhance the efficacy of the current cancer treatments . nrf2 is a basic leucine zipper transcription factor with 7 domains from neh1 to neh7 . neh1 has dna binding motifs.6 neh3 , neh4 , and neh5 have domains involved in the transactivation of nrf2 target genes by binding coactivators .","r2  is  transcriptional  factor   and  regulator of popsis, toxicity, andtoxicity.nf2 has been implica in the of ofpopis  in cancer  as  result of the p- 53 interaction. egr  has  role in c- andt- signaling  thes ofn2 activation.as a  member  ofa family of proteins,ea","nf2 has been reported to be a key factor in the regulation of r2 in cancer, and the e - s ofr1 and f1 have been shown to regulate the expression ofnp1 in cells, which is associated with the upregulation ofa1. in addition, p2 is an factor that regulates the of ofs ands in cell and is involved in of the induction of and of in "
59,"a 3-year - old male , known to have isolated speech delay , presented to the emergency department with severe body aches and inability to walk . few days prior to his presentation , the child started to have flu - like symptoms in the form of rhinorrhea and low - grade fever . this was followed by irritableness , hypoactivity , and inability to move his legs and arms . he was seen in a private hospital where computed tomography of the brain and a lumber puncture were done that showed no abnormalities . in the next day , his condition continued to worsen .","lip-1 deiency causes habylysis in children. the ofin-1 is  protein   that  is inactive in the os  ando  cells.  in  study, a  patient  with ina-1 lip -1  mutation  presented symptom  weakness, muscle, and inability  to walk, the was  of the age of  year  the in of","The prois of rdomolysis is poor, with up to one- third of patients dying during an episode ofrylysis. the pros ofin-1 deiency was poor in about 60% of the patients with re domlysis are poor. a recent study showed that the ea of in, s, and os are the most important factors in the development of chronic renal disease. on the other hand, the in of of"
60,"the study was approved by the institutional ethics committee , and informed consent was obtained from all patients in accordance with the tenets of the declaration of helsinki . the donors were selected based on these inclusion criteria : myopic spherical refractive error ranging from 0.5 d to 10.00 d with no astigmatism or astigmatism less than 0.5 d ; healthy eyes free from significant systemic and ocular diseases ; and ability to understand the content of the consent form and willingness to undergo serological testing . eligible candidates underwent the relex smile procedure with the standard technique11 by the same surgeon ( s.g . ) using the visumax fs laser . the cap thickness was 100 m , and the optical zone varied from 6 to 6.5 mm .","(  )  the of of  patients who underi fil (ii) under the ex smile (s  procedure). (a) patients under i  with fil  (n =  9  treated  were  for oi (o)), ap, and p (p) with spical  ofopia (bc)),  and the were fori withi ini.",", the lente was ed in a l of liquid solution, and the solution was used for the treatment of ocular diseases. theoes were used to the of the cornea and were placed on the surface of cornea. s - m of solution containing te, nee and ieae were d with pss andsas.aos was in the in of"
61,"sepsis is the major cause of death in the intensive care unit . despite improvement of antibiotics treatment and supportive techniques , the mortality of septic shock increases to approximately 60% . , it not only helps doctors to make an early diagnosis of sepsis , but also predicts outcomes . there have been some biomarkers and cytokines used in both the clinical practice and laboratory including soluble triggering receptor expressed on myeloid cells-1 ( strem-1 ) , procalcitonin ( pct ) , n - terminal probrain natriuretic peptide ( nt - pro - bnp ) , c - reactive protein ( crp ) , interleukin-6 ( il-6 ) , and interleukin-10 ( il-10 ) . trem-1 is a recently discovered member of the immunoglobulin superfamily of receptors that is specifically expressed on the surfaces of neutrophils and monocytes .","c- reactive protein (cp)  is  marker ofinflammatory in pis. tre-1  sm-1,ct, il-6, andil-10  were in the of of day 1, day  3, and  day 5  the levels of ms-1 andtre -1 were higher than those ofc-1 insural  group, the t-  pro--bp  level  in survival ","The present study was conducted to evaluate the protic of t- pro- bp levels in patients withpsis, and the results showed that tre-1 levels were significantly higher than those in the survival group on day 1 and were compared to the levels ofc and c in a group of patients who had pt. sm-1 is soluble protein that is expressed on the cells of the thyroid and is the precursor ofcalcon "
62,"nine male competitive cyclists participated in this study . their mean  sd age , height , and body mass were 33.3  7.5 yr , 184  4 cm , and 77.3  7.0 kg , respectively . they had a maximal oxygen consumption ( vo2max ) of 4.8  0.2 lmin ( oxycon pro ; viasys healthcare , germany ) with a peak power output of 418  16 w ( protocol , 25-w increase every minute from 100 w until exhaustion ) , corresponding to a performance level of 4 ( i.e. , well - trained cyclist ( 7 ) ) . all cyclists were experienced with performing tt in cold - to - temperate conditions ( < 25c ) and provided their written informed consent to participate in this study . the protocol conformed to the recommendations of the declaration of helsinki and was approved by an independent ethics committee .",". the tt was performed in hot conditions (tc   see section )  and was in a cool  condition ( cc)). power and output were during thet in thec condition, and were recorded the interval oft  inc and th  duringt andth, respectively. data are presented assd along the mean differences ( 95% interval) and the differences  betweents","The study was conducted on nine male cyclists who were experienced with performingt in cold- to- temper conditions (t-1 ) and the t was performed in a warm condition ( th, s, and -. the participants were in the of c and were ed with the power and power during thet and was measured by power meter (p ; r ), m, cm, in and in, respectively. "
63,"worksites in glass and metal works , foundries , rolling mills , in the vicinity of hardening furnaces , rotary kilns in the cement industry , high - temperature laboratory furnaces , as well as firefighting , are associated , in addition to common mechanical hazards ( e.g. , due to splashes of molten metals and slag ) , sparks and direct contact with open fires , with hazards caused by emission of harmful optic radiation within the visible ( vis ) and infrared ( ir ) spectrum range . excessive exposure to ir radiation leads to dryness of the mucous membranes , burns of the eyeball and development of cataracts . protection against thermal hazards due to excessive amounts of ir radiation reaching the eyes is provided by protective optic filters installed in spectacles , goggles or face protections . besides protecting the user against hazardous ir radiation
, such filters should ensure that the object / area of work can be seen clearly . if the level of ir radiation is very high ,
the use of filters reflecting radiation is recommended , as it allows the temperature increase in the filter itself to be reduced .","the rtance of the filters is higher than the of metallic filters. the values of  t and n for filters with  single metallic reflectingi radiation  are  in the range  0.5%  and 0.1%  respectively.  thessts ofrance and reflect of filters the infd andr spectrum are in  range 0. 5%, 0.3%, 1%, and1%.","the present study was conducted to compare the optical properties of the filters in the protection of eyes against r radiation, the luminous transmitance (v) and the reflectance within the 7802000nm range ( ) the values of transmit and reflect are determined by the use of a polyate base ( flat plate of 50 mm diameter and - 5 ; ir reflect within 7800 n range. the results of this study were obtained by"
64,"this retrospective observational study was conducted using electronic medical records from the south central veterans affairs health care network ( visn 16 ) , one of the largest of the 23 visns in the veterans health administration ( vha ) . the vha is a national integrated health care system providing a set of comprehensive services to veterans . as of 2010
the visn 16 data warehouse is an integrated , de - identified , individual - level database representing 7.8% of u.s .
veterans and covers a geographic region of 170,000 square miles , including the states of arkansas , louisiana , mississippi , and oklahoma , and parts of alabama , florida , missouri , and texas . it includes records for > 445,000 veterans from 10 medical centers and 40 outpatient clinics , with information regarding demographics , vital signs , laboratory results , diagnoses , procedures , inpatient and outpatient services ( e.g. , admission date , length of stay , and emergency room visits ) , drug prescriptions , and database enrollment history . as in the national vha population , patients in visn 16 are predominantly male ( 90.1% ) ."," retrospectiveal was conducted using electronic records the south affairs health care network (nn 16)   the of the sas  software  version 9.2,  which  included  total of14961 witht2dm between 1janary 2004 and 30jun 2010,a total  of 75  patients  diagnosed 2 d  were in then cycle  and assessed the the cycle the cost  in  cycle. thess software version  9. was","a retrospective study was conducted using the data of the national - health network (v 16 ), which is an integrated, de- identified, individual- level database, and the results were reported as the following: the of diabetes- related complications were evaluated in the first cycle, the s of b1c and dl- levels were estimated for each cycle using ls- c method, eas andss. i "
65,"endotracheal intubation is one of the most important skills for anesthesiologists in securing the airway during general anesthesia and resuscitation . failure to secure the airway can cause anesthesia - related life - threatening morbidity and mortality . however , the difficult laryngoscopy and tracheal intubation rate still remains at 1.513% due to poor reliability of traditional protocols , algorithms , and combinations of screening tools in identifying a potentially difficult airway . due to the portable , noninvasive characteristics , point - of - care ultrasound ( us ) technique has been widely used in the operating room for ultrasound - guided nerve block , central venous access , and pneumothorax diagnosis . with improved visualization of airway structures ,
prasad et al .","the sacs of rygos were in  range  from  to . thess  is the of of air in the neck, and c is used to guide central nous ination. ig  was the most of the insu  ofs in lango  in with a p value of 0. 0  for md  andt d","the use of portable us in the evaluation and management of airway has been reported, and the results of the study are consistent with the hypothesis that the ss of rygoscopy is a method for predicting difficult lagocopy in patients with yoid and ig. the thicknesse of anterior tissue was measured by ms, dsb,dhb anddac were determined using t- test "
66,"badana grupa skadaa si z 96 pacjentw ( 77 mczyzn i 19 kobiet ) w wieku rednio 58,1  9,8 roku . pacjenci zostali losowo przydzieleni do jednej z trzech grup : grupy pacjentw poddanych perikardiotomii tylnej ( grupa
i , n = 30 ) , grupy kontrolnej ( grupa ii , n = 33 ) oraz pacjentw , u ktrych zastosowano tylny drena osierdziowy , ktrzy jednak nie zostali poddani zabiegowi perikardiotomii tylnej ( grupa iii , n = 33 ) . czas trwania hospitalizacji pooperacyjnej ( p = 0,03 ; 11,56  10,64 ) oraz czsto reoperacji z powodu tamponady ( p = 0,019 ; 12,1% ) byy znaczco wysze w grupie ii .","perial eff is  common after coronary  surgery, and the ofperiaal drainage   is to the  of ofa of complications.  the volume of cardial is in the range of 1 to 1000 m  and in group i, the is significantly with the after of theoperative  in  groupii.pericardi eff was the in of afteroperative and  postoperative on the 30 post day. thea","perial eff was detected in group i, a group of patients who underwent t e o s - d r n c m and pss in the of the cardial. the volume ofcardi was determined by the use ofte ( ) and was to the in of ysas (s) ; thes ofs was inad of in and in in "
67,"cancer places a huge burden on society and has been identified as the leading cause of death in both more and less economically developed countries .
projections based on the globocan 2012 estimates predict a substantive increase to 19.3 million new cancer cases per year by 2025 , due to growth and ageing of the global population . south africa , like other developing countries , is also experiencing an increase in the overall burden of disease attributable to cancer , with the number of new cancer cases predicted to increase by 46% by 2030 . this is likely to result in an increase in the use of cancer chemotherapy agents , which assist in preventing the proliferation , invasion , and metastases of the cancer cells . the basis for chemotherapy is anticancer drugs containing platinum , that is , cisplatin ( cis - diamminedichloroplatinum ii ) and carboplatin ( cis - diammine 1,1-cyclobutane dicarboxylatoplatinum ii ) . other chemotherapy drugs include nitrogen mustard , amino - nicotinamide , dichloromethotrexate , bleomycin , and 5-fluorouracil [ 5 , 6 ] .","islatin- associatedotoxicity is  major for patients with cancer, as the hearing may be affected  the quality of life, the of  hearing, and the impact on quality life. this is to the  of ofcplatin totoxicity,  and its in and of in  patients  with  cancer.  isis-  toxicity  associated the loss hearing in children, adolescents, adults, in,,","cplatin- associatedotoxicity has been reported to be a major problem in the treatment of cancer, as it is known that the toxicity ofclatin is associated with the generation of reactive species, the of of s - ps and ts, and the effects of islatin on totoxicity are not limited to the use of chemotherapy, but also to other drugs, such as op latin, is the most effective in treating cancer"
68,"the synthetic modification 
 of proteins enables the construction 
 of biomolecular hybrids that can be used to study protein function , deliver potent therapeutics to cellular targets , and build new materials . the synthesis of these constructs requires a suite of chemoselective 
 bioconjugation reactions that proceed under mild , aqueous conditions 
 in the presence of the native functional groups that are present on 
 protein surfaces . the most common methods for protein modification 
 target the nucleophilic side - chains of lysine and cysteine . however , these strategies can 
 result in complex product mixtures , as lysine is typically found in 
 high abundance on the protein surface and 
 uniquely reactive cysteine labeling sites can be difficult to install 
 in many instances ( such as thiol proteases and proteins produced via 
 the eukaryotic secretory pathway , for example ) . many newer approaches 
 for the site - selective modification of proteins 
 involve the introduction of artificial amino acids with reactivities 
 that are orthogonal to those of the native 
 amino acids .",the   terminal reaction of - aminos witho- phenols  has been for  long  time  and the of then- terminal ofes have been  in  for many years. this is the first to  report the activity ofa--n terminal with o  amino ss ( a line)  witha high of of activity  this  is in the with thea of,"the - terminal aminos were ed in the presence of ferrcyanide, which is known to be a powerful oxidation, and the use of these s to the modification of then- termin of proteins has been reported, as the of o- phenols are able to modify the amino groups, such as yyine, ts,s and ns. the reaction ofamin-p- cre with"
69,"alcohol withdrawal syndrome ( aws ) is characterized by varied symptoms that range from mild to severe intensity depending on several factors including the quantity , frequency and duration of alcohol intake , and the number of prior withdrawal episodes , as well as individual differences in the vulnerability [ 14 ] .
symptoms usually present themselves within 6 to 24 hours after cessation of alcohol intake [ 5 , 6 ] . subtyping of the aws has been attempted in the past , as gross   conceptualized and proposed 3 constellations of alcohol withdrawal symptoms : factor 1 hallucinogenic that consisted of nausea , tinnitus , visual disturbance , pruritus , parasthesia , muscle pain , agitation , sleep disturbance , tactile hallucinations , and hallucinations which are auditory or visual or both ; factor 2 affective and physiological that consisted of anxiety , depression , tremor , and sweats ; and factor 3 delirium that consisted of clouding of the sensorium , impairment of consciousness , and impairment of contact with the observer . a cluster analytic study   identified three different symptoms clusters of alcohol withdrawal , namely , cns excitation , adrenergic hyperactivity , and delirium . several rating instruments have been used to measure severity of alcohol withdrawal . among them ,
the most commonly used observer - rated scale is the 10-item clinical institute withdrawal assessment - alcohol , revised ( ciwa - ar ) .","the iw-- ar is  scale of alcohol withdrawal  it is widely  and used  to assess the of ws in  population. we  the thes ofaw  s andas  ina patients admitted alcohol dependence, and the severity  of symptoms. theia-a -  isa scale alcohol  dependence  alcohol, alcohol and ess (ae  or)","The present was a cross- sectional study, which was carried out on patients with alcohol dependence, and the results showed that the ia - ar is the most widely used and rated scale for alcohol withdrawal. the study was conducted with the aim of identifying the factors of withdrawal and its severity in the patients, the ofs of alcohol, cwa- s,as andaa, as ws are ed in "
70,"this included only workers who had worked more than 50% of each day 's working period and had worked for at least 10 days of the follow - up period .
information regarding the amount of liquid intake expressed ( in litres , l ) and daily productivity output ( in tons ) were recorded . the rehydration strategies were re - structured by decision makers participating in the project and the author of this paper . for an eight working hour schedule , all workers were instructed to drink 1 l of the rehydration solutions or tap water at least 30 minutes before they began to work . they were also encouraged to drink water and rehydration solutions ( 250 ml ) every 3045 minutes . in total , they were each asked to drink 10 l of liquid ( tap water and rehydration solutions ) per day ."," workers are exposed to high temperatures  the present evaluated the ofhydr of sugare workers the montlim farm inagua,nicau   during the harvesting  2007/2008. the was  significant of increase of output and of water intake the workers during  period of follow- up  this was the result of  change  in hydr measures, workers increased their output  and productivity  as temperature increased  relative humidity  increased","The present study was conducted on 22 sugare workers at montlim farm, and the results showed that the hydration of the water was increased during the harvesting season, the temperature increased to maximum values as early as 8 am. this was due to the increase of temperature and relative humidity, which is a major factor in the prevention of heat injury, since the heat is major cause of preventable mority worldwide, this is due the fact that water is the main source of"
