Index,Original_Text,Option 1,Option 2,Original Mean Score,Flipped Mean Score
25,"radiocontrast - induced nephropathy ( rin ) can lead to acute renal failure ( arf ) , which may require dialysis therapy . arf increases treatment cost due to sepsis , hemorrhage , respiratory failure , and a long hospitalization.[13 ] rin is an important cause of hospital - acquired arf and is responsible for 12% of cases . renal medullary hypoxia and the direct toxic effects of iodinated contrast agents on renal tubules are possible mechanisms responsible for the pathophysiology of rin
. identified specific risk factors for rin are current renal insufficiency , diabetes mellitus , and high contrast volume , dehydration , advanced age ( > 70 years ) , congestive heart failure ( chf ) , and nephrotoxic drug use ( angiotensin converting enzyme inhibitor and nonsteroidal antiinflammatory drugs ) . patients at risk for radiocontrast nephropathy are recommended to use nonionic iso - osmolar or nonionic low osmolar contrast agents .","urineil-18 levels at 6h postconrast were in comparison with pret  urine il levels, but not statistically  this  was  significant. we the   of  patients with acute renal injury, the urinaryil18 levels were at the 6  hour after radiot administration,  and the levels ofil were  in the range precont and 24  after trast.  urinar  18  levels","The present study was conducted to evaluate the serum levels of il in patients with acute renal failure (r ), and a significant increase in plasmain levels was observed after radiotrast administration, but the increase was not significant, although the levels were not significantly. the results of the study were compared with those of other studies, such as the s - t- ands-t levels, the level of creatine levels in urine, n ",2.0,2.0
26,"according to the u.s . national institutes of health , up to 80% of human bacterial infections involve biofilm - associated microorganisms 1 . among these , implant - related infections
do still have a tremendous impact in orthopaedics and trauma 2 , with high social and economic costs 3 , 4 , posing challenging diagnostic and therapeutic dilemmas 5 . in fact , peri - prosthetic joint infection ( pji ) remains one of the most feared complications in orthopaedic surgery and among the first reasons for implant failure 6 . moreover , given the increasing number of hip and knee arthroplasties performed , the prevalence of this complication is rising , with increasing costs for national health systems and increasing biological costs for the patients , such as loss or reduced joint function and deterioration in their physical and psychological health 7 . according to the widely accepted model of the ' race for the surface ' for pji development ,
host and bacterial cells compete for surface colonization , with a low probability of bacterial attachment if host cells adhere to implant first , and vice versa .",", yuronic (ha) has been used to prevent bacterialesion and formation biofilm  this is an important in the of of pi  related  infections. in present   we the the effect ofhalonic  onbacterial adhsion, and bio formation, on titanium surfaces. the  ofa ofss of ha on ils  and ol s were  in a","in this study, the yuronic coating was used in the treatment of pae, and the results of the study showed that ha is able to inhibit bacterialesion to the surface of metals, in particular, a - s- and e-ss. in addition, ha has been reported to be the most effective in prevention of infection, as it can be used to prevent the formation of bios on the surfaces,",2.0,2.0
27,"in 2011 , who declared  combat drug resistance : no action today , no cure tomorrow .  . in recent years
presently , antimicrobial resistance ( amr ) poses a major threat to patient 's treatment as it leads to increased morbidity and mortality , increased hospital stay , and severe economic loss to the patient and nation [ 3 , 4 ] . the clinical isolates such as pseudomonas aeruginosa , methicillin resistant staphylococcus aureus ( mrsa ) , enterococci especially vancomycin resistant enterococci ( vre ) , and members of family enterobacteriaceae , for example , klebsiella pneumoniae , e. coli , and proteus sp . in the last two decades , there were so much increase of infectious diseases that the standard of public health in many parts of the world is equivalent to preantibiotic era . as per standardized international terminology created by european centre for disease control ( ecdc ) and centre for disease control & prevention ( cdc ) , atlanta , the multidrug - resistant ( mdr ) , extensively drug - resistant ( xdr ) , and pandrug - resistant ( pdr ) bacteria have been well defined ."," do (md o) is  common  infection, and the of ofmr is the most of  disease  in the world. the  ofd is an of infection  which infect many  patients  and patients, with  high mortality, mor and  mortality. in present  we  themo r (dr) andd (xr  strains) from u  hospital","in the present, mr and d strains were isolated from different s of patients and were identified by cc method, the a of e r - ta  n i. in u, ina, and in in, of the in and of of ins and outs, were in of and and the ofs  andss are in. osa andaa are  of",1.0,1.0
28,"ureterocele is a congenital urinary abnormality characterized by the presence of an intrabladder hernia or cystic ballooning of the lower end of a ureter lying between the mucosa and muscle of the bladder . the abnormality leads to urinary retention and recurrent urinary tract infection ( uti ) , which can cause irreversible damage to the kidney . this abnormality can be suspected in the fetus by antenatal ultrasonography ( usg ) and confirmed by other x - ray investigations after birth . the incidence of ureterocele is variable with the highest rate of 1:500 and it is generally found in females with duplex system association ( 95% ) . ureteroceles can have different clinical presentations , such as antenatal hydronephrosis , uti , vesicoureteral reflux ( vur ) , bladder outlet obstruction , prolapsed urethral mass , etc .","reteele isa conital urinaryity. retele is  common infts with du system association.urocs   are rare  and rare in children, and the of ofretes is rare. we  present  case ofa 5-  year- old withurealal in tc-dta (cc)  child  withueles. in the b of","a 5-year- old female was referred to our department for tc- dimcaptic acid (dpa) scan, which is an noninvasive imaging for the evaluation of renal function, and the c of the urinary is the most important in the management of reteele. uroc is gen urinar abnormal characterized by the presence of intradder heria, eas and saa and isa of",2.0,2.0
29,"health - related quality of life ( hrqol ) is a multidimensional concept that defines a person 's health based on specific aspects , such as physical , emotional , and social functioning and general welfare ( 1 ) . the assessment of hrqol consists of an evaluation of the degree to which these aspects are decreased by symptoms , incapacities , and limitations caused by disease ( 2 ) . the assessment of hrqol has been used as a measure complementary to bone mineral density to evaluate and monitor the burden of osteoporosis on a patient 's daily life ( 3 ) . there are several instruments that can be used to assess the quality of life of individuals with osteoporosis , including the osteoporosis assessment questionnaire , the quality of life questionnaire for osteoporosis ( optqol ) , the osteoporosis quality of life questionnaire , and the questionnaire of the european foundation for osteoporosis ( qualeffo ) ( 4 - 7 ) .",the efo (e f  score) is  measure of quality of life. the ofeof ( q   (q))  has been used to the quality life of women aged 65 years or older. this was the first of  series  to evaluate the impact vertel fractures quality on life the women  who had two or more in the last  12  the thes of fracture  inaa,"The study was conducted using the framework of the so pao ageing & study ( spa), which was a population-based, cross- section study, and the results were obtained by the use the s - d e m ( ) and t- scale. the assessment of roo (s) was performed by i-s (a) with the of ofa and (b) in the, o ",2.0,1.0
30,"the majority of women with menorrhagia , postcoital bleeding , intermenstrual bleeding , or postmenopausal bleeding ultimately undergo diagnostic hysteroscopy with endometrial sampling as part of their assessment , particularly if symptoms persist or pelvic imaging suggests a uterine abnormality .
dilatation and curettage ( d&c ) has been widely considered to be the method of choice for obtaining endometrial samples for histopathological evaluation
. however , the needs for admission and general anesthesia and their associated costs have made this option less favorable . in the outpatient setting , endometrial sampling is an effective and acceptable method for obtaining endometrial samples for histopathological assessment [ 3 , 4 ] . inadequate sampling is more problematic in postmenopausal women , for whom up to 68% of endometrial samples are reported to be inadequate . in our institution , the only sampling tool available to perform the outpatient sampling procedure is the uterine explora model i - mx120 ( http://www.coopersurgical.com/ )","theaacy ofoal sampling the explor modeli is higher than that ofdttage  however, the ofa of  sample is insufficient,  and the is of the inacy the  explor technique. this was the first to theo sampler   in patient  setting, and this is the for of this  retrospective  study. we the thes ofs and of of samples the byaa and","the results of this study showed that the endmetrial sampling is an effective and acceptable method for obtainingoal samples for hisological evaluation, and the a of thea and ss of ometri samples were obtained in the out setting, the ofo samples are obtained by the use of probes, which are used to obtain samples from theoa. the samples obtained were ed by dc and were used for the evaluation of endo",2.0,2.0
31,"the geological and ( palaeo-)biological evolution of lowland amazonia during neogene and quaternary times remains fascinating since the early days of natural sciences ( for summaries of research history see e.g. , loczy , 1963 and wesselingh , 2008 ) . many , but partly highly controversial models have been introduced to explain its historical development ( for recent compilations see e.g. , lundberg et  al . , 1998 ;
, 2006 ; wesselingh and salo , 2006 ; rossetti and mann de toledo , 2007 ; haffer , 2008 ; hoorn and wesselingh , 2010 ; hoorn et  al . , 2010 ;
generally , it is widely accepted that around the onset of the miocene ( 23  ma ) a mega - wetland (  pebas system  , also called  lake pebas  ) developed in western amazonia due to the subsiding subandean foreland ( e.g. , hoorn , 1994 , 2006 ; wesselingh et  al . , 2002 ; wesselingh and salo , 2006 ; shephard et  al .",": the ofcrops in amazonia   are  of different  and  differents  types. the s of cros ands are in different types, and the isss is  in  between the and and of thees ( a) and (b )  (c)) (fig  2). erp  isa of ofsa anda",", the - s of eiunep ( i ) is a sediment of the eastern of amazona, which is to the south ofa river, and the sediments are in the form of layers of clay, ts and ls. the layers are formed by the of ofees (s) and are d by ossa (a) ; (b ), c,,s,",2.0,1.4
32,"with increasing availability , widened indications , and technical refinements of computed tomography ( ct ) and magnetic resonance imaging ( mri ) , the number of incidentally discovered adrenal lesions , such as adrenal incidentalomas and incidental adrenal enlargement , is increasing . in a recent study by tang et al .
, among a total of 564 eligible ct studies ( patients undergoing ct without prior known malignancy , trauma , or endocrine disease ) , adrenal hyperplasia was detected in 64 cases , giving a prevalence of 11.3% . this indicated that incidental adrenal enlargement had a significant prevalence and has become a common clinical problem . it should be emphasized that the term incidental adrenal enlargement represents the way the lesion was detected ( incidentally ) , rather than the etiology or diagnosis . it is a common term for a variety of adrenal disorders , but its cause must be properly assessed so that patients needing treatment , such as those with hormone hypersecretion or malignant disease , can receive appropriate care .",", the ofal  enlargement is  common finding, with  high prevalence. however, its is important to evaluate functional of les  the present  shows that  noularen is the most common of adrenalenions, and the is of importance in management. the  of of dular largement,  isa common in  elderly  patients.  in present, our  study, of78 patients witha adrenal s","the present study was conducted to determine the prevalence of adrenal en in patients who were hospitalized at the department of endcriology in jing, china, and the results showed that the s of a - d t, i  e o  and c. the number of patients with adrenalen was increased by the increase in the of ofts, which was in line with the increasing of in of the patients, the",2.0,1.0
33,"pursuing the goal of improved health literacy requires more alliances between health and education sectors to improve literacy levels in the population . it is important for health educators to know about knowledge transfer to meet their needs in transferring their knowledge to public
. knowledge transfer , which means the synthesis , exchange and ethically application of knowledge within a complex system of relationship among researchers and users , has become one of the recent priorities in research centers . the word 
the method of knowledge transfer , apart from its characteristics , requires active interactions between researchers and users . caplan proposes the two- communities theory indicating a gap between researchers and policymakers , whereas these days another gap has been formed between researchers and other users .",", this is the first of  series  that the of child poems to families. the results of this show that knowledge has been to the through child  poems,   which  is  method  in a  family  of children. this  was the  first  study  to  children's knowledge  the ina of the children  and their in of health  through ish poems. results  our  results","the results of this study showed that the children's knowledge is important in the health of children and that they are able to improve their health by the use of childish poems, which is a method that has been used to promote health in children, and the of the s of es and ds, in order to achieve the goal of improving health, we have used the method ofa - test and post-test to compare the and of of",2.0,1.0
34,"septic arthritis of the shoulder is uncommon in adults . it is a surgical emergency as joint destruction occurs rapidly and can lead to significant morbidity and mortality . a 43 years old male came to our outpatient department with complaints of pain and stiffness of his left shoulder . on examination , his shoulder movements were severely restricted . further evaluation with mri revealed septic arthritis of left gleno - humeral joint for which emergency arthroscopic debridement was done .",. septic of the shoulder is uncommon in immunoromised  patients. we report an unusual of eptic shoulder in  43-year- old withatypical pain and stiff of his shoulder. the case highlights the importance  and of early for diagnosis and management ofs arthritis the the with typical and clinical features. our report  ana of ofeptic  of shoulder   with associated stiff in the of left with pain  stiffness,"a 43 years old man presented to the orthoadic out department with complaints of pain and stiff in shoulder and was diagnosed with septic of the shoulder. the patient was insidio inonset, mild to moderate in intensity, aggravated by activities, and associated with stiff and pain. our report shows that eptic arthritis of shoulder is uncommon in patients who are compised and present withatypical symptoms and in the setting of clinical and radio studies, the of ",2.0,1.0
35,"split - liver   transplantation ( slt ) is an   attractive alternative procedure to expand the donor pool in patients waiting for liver transplantation . the standard split - liver procedure for a child and an adult ( adult / pediatric split liver ttransplantation , a / p slt ) , by splitting segment ii - iii for pediatric recipient and segment i - iv - v - vi - vii - viii for an adult , is an accepted surgical option with good results both for the adult and for pediatric recipient . biliary complications continue to be the major cause of morbidity after slt with a reported high incidence ranging between 10% and 32% [ 1 , 2 ] . as a consequence of bile duct anatomic variations
, slt requires a precise knowledge of the liver anatomy [ 3 , 4 ] . the challenge of this procedure is represented by a preoperative radiological assessment of the biliary anatomy often unavailable at the donor 's hospital .", bilary is  common after liveration. the of b duct embl is an approach to the treatment uncommon iary complications. we  present  case ofa63-  old with patitc  relatedcirhos  that aftera split- liver (st  procedure)  anastois occurred  the patient  underwenta  surgical of thei  branch the the educts,"The use of bca in the treatment ofbilary leaks is a promising approach to reduce mority and mortality in patients with iary s and the bil duct was performed bya - t technique. the use n- butl cyanacryl (nca ) is an effective technique to treat eary and ary complications, and we the of theas oo l andaaos in ",1.4,1.0
36,"ribonucleotide reductase ( rr ) inhibitors have been studied as radiation sensitizers for over 30  years in both the lab and the clinic . the first of these , hydroxyurea , has been studied in both cervical and head and neck cancers , among others . although initially promising , many of the clinical trials produced negative results , or those that were difficult to interpret . there has recently been a significant advance in our understanding of this pathway from a number of well - done pre - clinical studies .",", r inhibitors have been in the treatment of cancer for years. the of u is the most active ofrs   and the  ofu  has been to the in of ofas in cancer  this is supported by  number of studies, including  study  in cervical  cancer. a  review of thes ofsr andr toi in and of cervical has  been  published  the","a number of studies have been conducted to evaluate the effect of u on the s of cancer, and the results of these studies suggest that r is important in the treatment of cervical, particularly in ib and b. in addition, there are number studies that have investigated the of ofu to radiation, in particular, the use ofr to na, cplatin, is the most active inhibitor ofn and is to the in of",1.6,1.0
37,"the study of long bones and the cells of the bone marrow is central to a myriad of research disciplines , including , but not limited to , bone biology , cancer biology , immunology , hematology , and biomechanics . the bone is a highly dynamic organ that together with the cartilage forms the skeleton to provide mechanical support against loading and protection of the internal organs . in addition , the mineral components of bone are a storage sink for the critical signaling molecules calcium and phosphorus , as well as other factors . finally , bones house the bone marrow and , together with metabolically active bone forming osteoblasts and bone resorbing osteoclasts , provide the stem cell niche necessary for the maintenance of hematopoietic and lymphoid cell populations . bone and bone marrow are affected in many disorders , often leading to bone marrow dysfunction , severe bone pain , and pathologic fracture ."," bonem is an important for the of of bone and the arrow  the bone is  key  for   number of applications, including hisology  bio  and mechanical  studies. thetomopho  microt (oc  3  isa method to the analysis bone m  in  mouse  has been for many  years, and is used in many of  research  including tology and ology.","the marrow is a highly dynamic organ that is to the of the bone and arrow, in the case of emur, ibi, andibi are important for the analysis of bone s and bonem in. thes is the most common of all diseases, such as ta anda ia,as,ss - ands in, them isa of and thees are the main of in bone,",1.8,1.0
38,"tuberculosis ( tb ) is a major health issue in developing countries with over two billion people being infected with tuberculosis bacilli world wide ( 1 ) . although tb was recently regarded primarily as a disease of the developing countries it is now also on the increase in developed countries such as the united kingdom , mainly as a result of globalisation as well as an increase in immunosuppressed patients . figures by the health protection agency ( hpa ) show that the cases of tb in the uk increased by 5.5% in 2009 when compared to those in 2008 ( 2 ) . this caucasian patient presented to the emergency department with sudden pain localised to the ulnar aspect of her wrist . x - ray of the forearm was normal and she was treated conservatively but was lost to follow up .","tubculos (t  is)  isa major of infection in developing  countries. erculsis is  major infection  the of of the nar andular  joints.t is the most common of culous  diseases  and bb is rare  however, it is of great importance to the management oft in  patients  this case our patient presented with acute pain  swelling swelling and pain","The patient presented to the emergency department with pain localised the nar aspect of wrist. x-ray of the forarm was normal and she was treated conservatively but was lost to follow up. following the diagnosis ofb, the patient was diagnosed with b and was infected with tubculous osteoois (tb ). however a - ray showeda synal tumour on the dosal media aspect the wrist mi showed",2.0,1.0
39,"the value of the ketogenic diet ( kd ) has been recognized in the treatment of epilepsy , although the exact mechanisms by which it exerts its effect remain an enigma . they seem to be different from those of regular antiepileptic medications ( aeds ) , and discovering what they are may lead to its use in clinical situations other than epilepsy as well . the kd is comprised of four elements , the changes of any of them can potentially lead to losing its anticonvulsant effect : ( 1 ) increased amount of fat , usually in a ratio of 3 to 4 grams of fat for each gram of protein and carbohydrates , ( 2 ) as low a consumption of glucose as possible , ( 3 ) caloric restriction , and ( 4 ) fluid restriction . although there is some debate about the last component , clinical practice has shown that stopping fluid restriction can lead to seizure recurrence much in the same way as when stopping glucose restriction . the most important result of observing the diet is the increased blood level of free fatty acids ( ffas ) .",", the d has been used to treat epipsy, but the effects are not  known. the of of thed   is the induction of metabolic  changes, which the neuroive and neuroi effects  are. this is  study to the effect thek on neuros in tistic  children,  who  with epitic  tumor  and ps  ina  child  thes the","the kd is the most effective treatment for the treatment of cancer, and the effect of thed on the development of tumors is not limited to the inhibition of glucose. the effects of d and ad in the brain are similar to those of other drugs, such as eas andaa, which are associated with the increase of levels of free acids, the of ofa ss, tyl -a andt ",2.0,1.8
40,"the endotracheal tube ( ett ) should be placed at the optimal level to avoid inadvertent complication . if the ett is too deep , it increases the risk of unintended single lung ventilation . on the other hand , if the ett is too shallow , it may cause vocal cord injury by the ett balloon or accidental extubation . there are many methods for determining the appropriate depth of ett in adults ; fixed insertion depth according to sex ( 23 and 21  cm from the upper incisors in adult males and females , respectively ) , the use of depth marks on the ett , suprasternal palpation of the ett tip or cuff , and bilateral auscultation . although chest radiography and bronchoscopy are considered an accurate method , they are not always feasible and the costs are considerable .","the  tracal level the mid heal is determined by the of of c  and sn ofet tube. tt is used to the ination ofohe tube in adults. the is of the importance to determine the depth theootrache in  males, female, and male. this  was the first to  the thet depth  oft in in of male  female ","in conclusion, the -tracal level is considered the optimal level of thet in adults, and the use of cc to determine the depth oft is a method that is used to predict the mid- he level in patients. t s, et andt are used in the treatment of patients with high oss and io n  and in case of inasal andota, it is",1.6,1.0
41,"embryos generated through assisted reproductive technologies ( art ) are deemed surplus when , for some reason , they are not used for reproductive purposes ( svendsen and koch 2008 ; haimes and taylor 2011 ) ; instead , they are then disposed of or , where this is allowed by a country s art regulation , may be donated for a variety of research purposes . thus , the generation and subsequent fate of embryos that are designated surplus are determined as much by legislation as by embryo biology or technological constraints . for example , legislatures differ in whether cryopreservation of embryos is permitted , meaning that in some countries any ivf embryos not immediately transferred for pregnancy are surplus , while in others they may be frozen for later transfer . in some countries , the law considers surplus embryos as the primary source of material for human embryonic stem cell ( hesc ) research , while in others this use of embryos is expressly forbidden . although hesc research has been subjected to exhaustive ethical scrutiny , the lack of consensus on the ontological or ethical status of surplus embryos means that the uses to which they may then be put remain contested ( deckers 2007 ; guenin 2008 ; moller 2009 ) .","(  )  this paper aims to the the of the ethical of embryo  and the  of of donation in  context  these and ss  studies. the is of  importance to understanding thees of donors and their  for  reasons, and how they  are ed  in ethical  terms. in this  paper, we the reasons the donors their surplus embryos to research, in the context the research  to stem cell research","in serland, the donors were formerif patients donating crypresved embryos; in china, they were current ffs, which were stored for some time, and were not used in research, but were used as a source of research. the study was conducted for more than three years and the participants were in the position to the the of the es and ts of i ands, in which the embryo was",1.2,1.0
42,"thyroid cancer is the most common endocrine neoplasia which accounts for about 1% of human cancers . mtc originates from calcitonin - producing cells ( c - cells ) of the thyroid gland and accounts for 35% of thyroid cancers . mtc is relatively slow - growing tumor but , if metastasized or relapsed , it becomes very aggressive causing more than 13% of all thyroid cancer - related mortality . in the united states ,
mtc has an incidence in children of 0.03 per 100 000 population per year with a fairly equal female to male ratio [ 4 , 5 ] . mtc occurs either sporadically or in an inherited autosomal dominant manner .","mc is  common thyroid  cancer, with  high rate of progression. tc  is the most common of thyroids, and is associated witha high of tumor  rate.re mutations inre have been reported in men2  and menb   patients  but have not been in the of of  men  2  cases. men 2 isa  rare  benign  tumor,  with in  of cases","mc is the most common tc in children, and is associated with the development of a - c s, y e ns and rss in the os of the thyroid. re is an ic   and the oft is ofa type of cancer, which is in of of and in ias, thets are ds- andt- inst ",1.0,1.4
43,"neurosurgery is characterized by the delicate balance between surgical success and potential for devastating side effects . thanks to multiple technological improvements
, the morbidity of neurosurgical interventions has substantially decreased over the last decades , allowing for the resection of previously inoperable lesions . in particular , image - guided neurosurgery ( igns ) devices allow the use of coregistered and fused multimodality 3d images to guide the surgeon 's hand and help define preoperatively the boundaries of pathological and predefined functional structures . meanwhile
, new modes of medical imaging have also improved the localization of pathological lesions and their characterization . medical imaging nowadays includes a wealth of different techniques , such as computed tomography ( ct ) , structural and functional magnetic resonance imaging ( smri and fmri ) , diffusion tensor imaging ( dti ) , and positron emission tomography ( pet ) .","this is  new   method, and we present the of of- the- art for updating preoperative images  the brain des due  shift and successive sections. this  is the first of  series  that the  mechanical is in the state of update  we  present our d approach,  which the the displacement of thees and thes ofse are  in  state  of and  to  and","in section 4, we present the - of- the- art of re and traction, which is a method that is used to determine the of the deformation in the brain, and to the extent that it is not possible to obtain the information on the shape and the position the ins and outs of brain. the method is the combination of mechanical and mechanical methods, based on e m s, the use ofa d ",2.0,2.0
44,"the contribution to human health of the specific fatty acid ( fa ) composition of the diet has received considerable attention in the literature . fatty acids are key nutrients that affect early growth and development as well as the prevention of chronic disease in later life.1 among the fas , omega-3 polyunsaturated fatty acids ( n-3 pufa ) and omega-6 polyunsaturated fatty acids ( n-6 pufa ) have been suggested to decrease and increase several human diseases , respectively . pufa that contains more than one carbon double bond consists of two major classes such as n-6 and n-3 ( fig . linoleic acid ( la ) is a representative n-6 pufa , serving as a substrate to be converted into an arachidonic acid ( aa ) affecting the prevalence and severity of inflammation . n-6 pufa can induce cardiovascular disease , diabetes , cancer , and age - related disease.1 
 -linolenic acid ( ala ) , eicosapentaenoic acid ( epa 20:5 ) and docosahexaenoic acid ( dha 22:6 ) are important n-3 pufa involved in human .","-3fa is  key in the of of c cancer.  3 pua   is the most important ofn-3 aas  inc  cancer  and the role in cancer is not  known  however, the  of 3af s inecc has been to the prevention colorc (c)  tumor  development. in present  we the then fsa ina","n-3 pua has been reported to be beneficial in the prevention of cancer, and the of of -3fa in ec cancer is the leading cause of death in men and women, as the - s ofc and c is a major factor in cancer development, but the effects ofnf on cancer have been shown to increase the risk ofetal cancer (c ) in patients with cancer, including ooa, t",2.0,1.0
45,"sexual development in males is a multistep process , implying a delicate network of molecular events that directs the bipotential gonad to differentiate into testis ( sex determination ) and consequent differentiation of internal and external genitalia in the presence of testicular hormones ( sex differentiation ) . alteration of any genetic or endocrine factors involved in testicular development may lead to 46 xy disorders of sexual development ( dsd ) . genital ambiguity in patients with 46 xy dsd may either occur due to the disorders in gonadal development or due to the disruption in androgen synthesis or action . patients with disorders of gonadal development may present with either complete or partial forms of gonadal dysgenesis . swyer 's syndrome or complete gonadal dysgenesis ( cgd ) is characterized by unambiguous female genitalia , bilateral streak gonads , and elevated gonadotropins .","summarize summarize summarize summarized in table 2  the of of xydsd (s  dd)  and testagenesis (ta genesis). t: ht is normal,  testosterone  levels, ands levels  are normal. in  case  ofsa ( aa), test is is in the  stage of development, the is of testis and  is","in, the inability ofpotad to differentiate into test is the result of the lack of testosterone in the body and the presence of t s a - ds (t) and ht ( ) levels were measured in patients with xydd (xd). the es ofts andss were in with the of of andas, ot, andt ins witht and",2.0,1.0
46,"urinary tract infection ( uti ) is a frequent cause of morbidity both in the community and in the hospital setting . the causative pathogen can vary greatly geographically , and so it is prudent to identify those with resistant strains and have current data on the appropriate empirical therapy within a region . the most frequently encountered organisms associated with utis include enteric gram - negative bacteria ( with escherichia coli being the most predominant ) , coagulase negative staphylococcus saprophyticus along with proteus mirabilis , klebsiella , and enterococcus , which account for less than 5% . however , recent studies have reported the increasing prevalence of staphylococcus aureus ( sa ) in utis . sa is an opportunistic pathogen affecting both immune competent and immunocompromised individuals , frequently resulting in significant morbidity
.",", msa is  commonbacteruria in  patients who   have symptom  and  history ofpis. the of of raa s  is inas of the  ofa of patients withmai uri  inpatient and out  samples, and the is of importance in the management ofruri in patients  with asymptomiuri. in this  we, the","msa is a symptom bactera that is associated with uria in patients who undergo ureral re of the prostate, and the s of rs is an - resistant organism, which has been reported to be in the of of patients, in which there isa high of resistance to antibiotics, but the resistance ofma to thoo and oso is not. the number ofss in ",2.0,1.4
47,"acquired angioedema ( aae ) , an acquired deficiency of c1esterase inhibitor , is a medically treatable condition which can cause severe abdominal pain mimicking an acute surgical abdomen . this disorder is strongly associated with chronic lymphocytic leukemia ( cll ) and other indolent lymphoplasmacytic disorders . we describe a patient with known cll who developed incapacitating , recurrent severe abdominal pains , culminating in partial bowel resection . wider appreciation of the possibility of aae , particularly in patients with lymphoproliferative disorders , could lead to preventive therapy and spare unnecessary surgery . acquired angioedema ( aae ) is due to acquired deficiency of c1 inhibitor ( c1inh ) , resulting in excessive complement and bradykinin activities .","angiodema   is  rare in ll  and ae  our patient withcll presented abdominal pain, nausea, and vomiting.  we  present  case  withaa with  history ofc ill,  abdominal ea, abdominalre and andbowel section. the of ofadem is rare, but is infrequent  inll andas  patients. we the  of","The c1h concentration is highly effective in the treatment of aae, and the ss ofa ea is the most important for the management of acuteoytic disease, which is associated with the development ofoplasmtic and oa diseases. the in ofc inas and ins is of importance, as it is important to the of of thea in patients witha anda. t of abdomen and pelvi with ",2.0,1.0
48,"distal clavicle fractures associated with partial and complete coracoclavicular ligament disruption are potentially unstable , and non - operative treatment of these fractures is associated with a high non - union rate.[13 ] partial ligament disruptions ( conoid or trapezoid ) retain some inherent stability , and should be distinguished from complete dual ligament disruptions that result in an uncommon and highly unstable subgroup
. internal fixation of these fractures necessitates the use of acromioclavicular joint spanning implants ( clavicle hook plate , synthes , usa ) that overcome distraction forces by subacromial leverage ; however , subacromial / acromioclavicular joint encroachment with these implants is associated with subacromial pathology , and this may negatively influence the final outcomes . to overcome the shortcomings of the joint - spanning implants , acromioclavicular joint - sparing implants ( 2.4 mm lcp distal radius plates , synthes , usa ) have been suggested . additionally , a combination of this implant with some form of coracoclavicular fixation using sutures / anchors / endobutton devices ( tightrope , arthrex , fl , usa ) has been recently described for use in the highly unstable fracture subgroup . however , comparative clinico - radiological outcomes of the two techniques are lacking in literature .","croioclavcular is  type  of fracture  the ofacromi oicular   joint  in cs  and ac  fractures,  with  high rate ofcomution, and high of ss ( t  score ).am ii isa  pattern fracture, the pattern the theai of the m fracture. ic  iss pattern","acroioclavcular fracture was observed in 3 patients ( group 1 ), and the - s of cromi clav joint was ed in group 2 ; m : o i and c . t l d r p n b  ands  ( v) of theamoiclavi joint (a) and (b) were in the of",2.0,1.4
49,"a 68-year - old woman visited the clinic with the chief complaints of pain , swelling , and a warm sensation in her left thigh for over 2 days prior to her visit . the patient also complained about a warm sensation during the nighttime but body temperature was normal when measured in the clinic . she had undergone a left bipolar hemiarthroplasty following a hip fracture 24 days prior to the current visit and was wearing compression stockings to prevent the occurrence of a deep vein thrombosis . she had been taking aspirin 100 mg daily , fexonadine 180 mg daily , and hydrea 500 mg twice a day for a diagnosis of polycythemia vera for 1 year and was phlebotomized in a hemato - oncology setting on an irregular basis . in advance of the operation , her erythrocyte sedimentation rate ( esr ) , and c - reactive protein ( crp ) levels were 30 mm / hr and 4.99 mg / dl , respectively .","the ofa deep mbosis   is  common in patients withcthemia ver  and c- reactive (pr  levels)  has been reported  however, the level of proiton may be for  postoperative  in the current  case  we the  patient  with  deep veinmbois. we  presenta case of 68-year- old who  under  leftpolarhemiroplasty","a 68-year- old woman visited the clinic with the symptoms of throsis in the common emoral vein, and the level of serumcalcon ( p ) was increased to the levels ofsr andp levels, which are associated with an increase in - s levels. in case the patient with cythemia vera, the r levels were increased and t levels increased, thus ing the of of",1.6,1.4
50,"brachial plexus surgery using the da vinci surgical robot is a new procedure . to evaluate the advantages and the restrictions of the technique , a cadaveric study of supraclavicular and axillary approaches was conducted . we found that the axillary approach was useful and advantageous for lower roots , particularly for thoracic outlet syndrome ( tos ) . this report will focus on the evaluation of axillary robotic approach as the advantages and disadvantages of supraclavicular robotic intervention have been widely discussed in the literature . a human cadaver was subjected to this experiment in paris university ecole europenne de chirurgie anatomy laboratory and da vinci robot system was used .","braalplexus is  common in chi surgery. the ll approach,   the ofticular, has been widely  in the literature  however, this is the first report the robot- assisted brachi plex exposure. we  present our experience theaxiary approach thechial us using the dav surgical system. this was  first of  series  to thes ofchiaplex  and ss","the development of robotic- assisted axiary has been reported in urology, general surgery, andgneology, the of the s of chialplexus is a new approach to the treatment of braal us, which is the result of shoulder trauma. in this report, we present our experience with robotic -  and ys es and the results of our study. we have the experience and experience in the surgical of",2.0,1.0
